Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
259,Asteroids,Atari 2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31
545,Missile Command,Atari 2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76
1768,Kaboom!,Atari 2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15
1971,Defender,Atari 2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05
2671,Boxing,Atari 2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77
4027,Ice Hockey,Atari 2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49
5368,Freeway,Atari 2600,1980,Action,Activision,0.32,0.02,0,0,0.34
6319,Bridge,Atari 2600,1980,Misc,Activision,0.25,0.02,0,0,0.27
6898,Checkers,Atari 2600,1980,Misc,Atari,0.22,0.01,0,0,0.24
240,Pitfall!,Atari 2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
736,Frogger,Atari 2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2
768,Demon Attack,Atari 2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13
866,E.T.: The Extra Terrestrial,Atari 2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97
1108,Ms. Pac-Man,Atari 2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65
1155,River Raid,Atari 2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6
1308,Donkey Kong,Atari 2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46
1431,Centipede,Atari 2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36
1558,Atlantis,Atari 2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27
1850,Megamania,Atari 2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1
1967,Cosmic Ark,Atari 2600,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05
2145,Donkey Kong Junior,Atari 2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97
2234,Spider-Man,Atari 2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93
2518,Custer's Revenge,Atari 2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82
2598,Alien,Atari 2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79
2666,Air Raid,Atari 2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77
2808,Berzerk,Atari 2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73
2942,King Kong,Atari 2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69
3046,Adventures of Tron,Atari 2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67
3405,BurgerTime,Atari 2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59
3410,Smurf: Rescue In Gargamel's Castle,Atari 2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59
4017,Raiders of the Lost Ark,Atari 2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5
4141,Grand Prix,Atari 2600,1981,Racing,Activision,0.45,0.03,0,0,0.48
4348,Phoenix,Atari 2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45
4404,Jawbreaker,Atari 2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45
4519,Barnstorming,Atari 2600,1981,Action,Activision,0.4,0.02,0,0,0.43
4786,Mouse Trap,Atari 2600,1981,Action,Coleco,0.38,0.02,0,0,0.4
4910,Laser Blast,Atari 2600,1981,Action,Activision,0.37,0.02,0,0,0.39
4969,Airlock,Atari 2600,1981,Action,Data Age,0.36,0.02,0,0,0.39
5129,Dragonfire,Atari 2600,1981,Action,Imagic,0.35,0.02,0,0,0.37
5248,Frogs And Flies,Atari 2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36
5391,Fantastic Voyage,Atari 2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5402,Carnival,Atari 2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34
5566,Fireball,Atari 2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33
5802,Astroblast,Atari 2600,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31
6023,Fast Food,Atari 2600,1981,Action,Unknown,0.27,0.02,0,0,0.29
6539,RealSports Football,Atari 2600,1981,Sports,Atari,0.24,0.01,0,0,0.26
6868,Front Line,Atari 2600,1981,Action,Taito,0.22,0.01,0,0,0.24
6942,Dark Cavern,Atari 2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24
7150,Deadly Duck,Atari 2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22
7152,Reactor,Atari 2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22
7186,Crazy Climber,Atari 2600,1981,Action,Atari,0.21,0.01,0,0,0.22
7373,RealSports Baseball,Atari 2600,1981,Sports,Atari,0.2,0.01,0,0,0.21
7906,International Soccer,Atari 2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19
8461,Armor Ambush,Atari 2600,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17
9497,RealSports Volleyball,Atari 2600,1981,Sports,Atari,0.12,0.01,0,0,0.13
90,Pac-Man,Atari 2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
1117,Dig Dug,Atari 2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64
1165,Mario Bros.,Atari 2600,1982,Platform,Atari,1.48,0.09,0,0.02,1.59
1707,Pole Position,Atari 2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18
1819,Moon Patrol,Atari 2600,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12
1853,Jungle Hunt,Atari 2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1
1907,Joust,Atari 2600,1982,Platform,Atari,1.01,0.06,0,0.01,1.08
2408,Enduro,Atari 2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87
2631,Yars' Revenge,Atari 2600,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78
2662,Galaxian,Atari 2600,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77
2845,Kangaroo,Atari 2600,1982,Platform,Atari,0.67,0.04,0,0.01,0.72
3081,Keystone Kapers,Atari 2600,1982,Action,Activision,0.62,0.04,0,0.01,0.66
3217,X-Man,Atari 2600,1982,Action,Universal Gamex,0.58,0.04,0,0.01,0.63
3250,Battlezone,Atari 2600,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62
3268,Halloween,Atari 2600,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62
3449,Q*bert,Atari 2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58
3645,The Activision Decathlon,Atari 2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55
3718,Action Force,Atari 2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54
3750,Popeye,Atari 2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54
3968,Chopper Command,Atari 2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5
4015,RealSports Tennis,Atari 2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,Atari 2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5
4803,Congo Bongo,Atari 2600,1982,Action,Sega,0.37,0.02,0,0,0.4
4896,Bump 'n' Jump,Atari 2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
5066,Gravitar,Atari 2600,1982,Action,Atari,0.35,0.02,0,0,0.38
5383,Alien's Return,Atari 2600,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34
5397,Bank Heist,Atari 2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5660,Frankenstein's Monster,Atari 2600,1982,Action,Data Age,0.3,0.02,0,0,0.32
5775,Mountain King,Atari 2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31
6147,Polaris,Atari 2600,1982,Action,Tigervision,0.26,0.02,0,0,0.28
6267,Mr. Do!,Atari 2600,1982,Action,Coleco,0.26,0.02,0,0,0.27
6730,Porky's,Atari 2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25
7151,Assault,Atari 2600,1982,Action,Bomb,0.21,0.01,0,0,0.22
8460,Death Trap,Atari 2600,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17
8760,Pressure Cooker,Atari 2600,1982,Action,Activision,0.14,0.01,0,0,0.15
9108,Krull,Atari 2600,1982,Action,Atari,0.13,0.01,0,0,0.14
1510,Pitfall II: Lost Caverns,Atari 2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31
2654,Jr. Pac-Man,Atari 2600,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78
2674,Crystal Castles,Atari 2600,1983,Action,Atari,0.72,0.04,0,0.01,0.77
